colp																																																																																				
1.268,48																																																																																				
1.260,10																																																																																				
1.263,25																																																																																				
1.268,49																																																																																				
1.270,09																																																																																				
1.264,10																																																																																				
1.245,63																																																																																				
1.245,65																																																																																				
1.240,18																																																																																				
1.222,74																																																																																				
1.219,44																																																																																				
1.226,34																																																																																				
1.209,86																																																																																				
1.210,92																																																																																				
1.198,14																																																																																				
1.187,55																																																																																				
1.192,24																																																																																				
1.193,54																																																																																				
1.206,22																																																																																				
1.187,56																																																																																				
1.198,89																																																																																				
1.189,09																																																																																				
1.214,55																																																																																				
1.235,67																																																																																				
1.236,75																																																																																				
1.241,44																																																																																				
1.210,68																																																																																				
1.187,27																																																																																				
1.154,07																																																																																				
1.156,17																																																																																				
1.111,75																																																																																				
1.118,43																																																																																				
1.110,39																																																																																				
1.129,63																																																																																				
1.121,24																																																																																				
1.096,92																																																																																				
1.106,24																																																																																				
1.118,20																																																																																				
1.117,41																																																																																				
1.119,62																																																																																				
1.146,36																																																																																				
1.157,59																																																																																				
1.183,20																																																																																				
1.178,51																																																																																				
1.193,57																																																																																				
1.200,34																																																																																				
1.221,42																																																																																				
1.232,20																																																																																				
1.240,27																																																																																				
1.253,29																																																																																				
1.257,24																																																																																				
1.255,16																																																																																				
1.247,97																																																																																				
1.244,77																																																																																				
1.215,94																																																																																				
1.225,26																																																																																				
1.197,65																																																																																				
1.185,60																																																																																				
1.167,51																																																																																				
1.198,81																																																																																				
1.157,99																																																																																				
1.158,68																																																																																				
1.158,60																																																																																				
1.164,18																																																																																				
1.157,44																																																																																				
1.159,53																																																																																				
1.160,15																																																																																				
1.143,42																																																																																				
1.159,12																																																																																				
1.148,13																																																																																				
1.137,65																																																																																				
1.134,23																																																																																				
1.136,76																																																																																				
1.123,90																																																																																				
1.122,65																																																																																				
1.110,71																																																																																				
1.098,60																																																																																				
1.100,97																																																																																				
1.101,47																																																																																				
1.092,64																																																																																				
1.099,03																																																																																				
1.117,93																																																																																				
1.147,97																																																																																				
1.151,72																																																																																				
